company_name,country,score_total,sector,one_liner,funding_stage,website
Better Stack,CZ,5,"Internet, Software, Saas, Tech","Better Stack provides observability and incident management tools for monitoring systems, logs, and uptime.",Series B,betterstack.com
Runecast,CZ,5,Cybersecurity,Software that helps enterprises detect and remediate configuration and security risks in IT environments.,Seed,runecast.com
Veriff,EE,5,Other,A global identity verification platform for remote onboarding and fraud prevention.,Series C+,https://veriff.com
BOTGUARD,EE,5,Cybersecurity,Botguard is a cybersecurity company that protects websites and online services from bot traffic and automated abuse.,Series C+,botguard.net
SEON,HU,5,Cybersecurity,"SEON provides real-time fraud detection and risk intelligence software for fintechs, online merchants, and digital platforms.",Series C+,seon.io
Semeris,HU,5,Legaltech,"Semeris uses AI to analyze legal and financial documents, helping financial institutions review contracts and extract structured legal insights.",Series A,https://www.semeris.com
Turing College,LT,5,Edtech,"Online education platform providing AI, data science and digital-skills upskilling and reskilling programs.",Seed,https://www.turingcollege.com
Ligence,LT,5,Healthtech,Develops AI software for automated cardiac ultrasound and echocardiography analysis and reporting.,Series A,https://ligence.io
Corebook.io,LV,5,SaaS,Corebook.io provides a SaaS platform for building and managing brand guidelines and brand assets.,Seed,https://corebook.io
printful,LV,5,Ecommerce,"Printful is a print-on-demand and fulfillment platform that helps businesses create, store, and ship custom merchandise.",Series C+,https://www.printful.com
Visely,MD,5,Ecommerce,Visely provides personalized product recommendations and visual search tools for ecommerce merchants.,Bootstrapped,visely.io
Personizely,MD,5,SaaS,"Personizely offers on-site personalization, popups, forms and conversion-optimization tools for ecommerce websites.",Bootstrapped,https://www.personizely.net
Infermedica,PL,5,Healthtech,"Infermedica builds AI-driven symptom checking and patient triage tools for healthcare providers, insurers, and digital health companies.",Series B,https://infermedica.com
ZEN.COM,PL,5,Fintech,"ZEN.COM offers digital payments, multi-currency accounts, cards, and shopping protection services for consumers and merchants.",Series A,https://www.zen.com
Videowise,RO,5,SaaS,"Provides a shoppable video platform that helps e-commerce brands add, manage and measure product videos on their online stores.",Series A,https://videowise.com
Sessions,RO,5,SaaS,"Sessions is an all-in-one customer-meeting platform combining video meetings, scheduling, agendas, collaboration, and AI notes.",Series A,https://sessions.us
Solargis,SK,5,SaaS,"Solargis provides solar-resource data, analytics, and software tools for assessing and operating photovoltaic projects.",Bootstrapped,https://solargis.com
Cloudtalk,SK,5,Technologie,A cloud-based call center and business phone software for sales and support teams.,Series B,https://www.cloudtalk.io/
Bookimed,UA,5,Healthtech,"Bookimed is a medical-tourism marketplace that connects international patients with hospitals, clinics, and treatment programs abroad.",Seed,https://bookimed.com
Adwisely,UA,5,SaaS,"Adwisely automates paid ad management for Shopify and WooCommerce merchants, helping ecommerce stores run and optimize campaigns.",Seed,https://www.adwisely.com
Musaffa Financial Solutions,UZ,5,Fintech,"Builds Islamic finance technology, including halal investing and Shariah-compliant screening tools.",Seed,https://musaffa.com
